Timestamp,Human readable date,daily,Context
1635382920539,2021-10-28 01:02:00,54.0,b'{}'
1635375625334,2021-10-27 23:00:25,44.0,b'{}'
1635368493029,2021-10-27 21:01:33,14.0,b'{}'
1635365040346,2021-10-27 20:04:00,13.0,b'{}'
1635357892799,2021-10-27 18:04:52,4.0,b'{}'
1635354285974,2021-10-27 17:04:45,2.0,b'{}'
1635296424308,2021-10-27 01:00:24,24.0,b'{}'
1635292813444,2021-10-27 00:00:13,18.0,b'{}'
1635285628675,2021-10-26 22:00:28,8.0,b'{}'
1635278408526,2021-10-26 20:00:08,2.0,b'{}'
1635271265352,2021-10-26 18:01:05,1.0,b'{}'
1635267621357,2021-10-26 17:00:21,1.0,b'{}'
1635264099598,2021-10-26 16:01:39,0.0,b'{}'
1635206615064,2021-10-26 00:03:35,6.0,b'{}'
1635202836778,2021-10-25 23:00:36,5.0,b'{}'
1635195708458,2021-10-25 21:01:48,4.0,b'{}'
1635192148246,2021-10-25 20:02:28,2.0,b'{}'
1635188569367,2021-10-25 19:02:49,1.0,b'{}'
1635185090261,2021-10-25 18:04:50,0.0,b'{}'
1635181382145,2021-10-25 17:03:02,0.0,b'{}'
1635177711245,2021-10-25 16:01:51,0.0,b'{}'
1635102263398,2021-10-24 19:04:23,0.0,b'{}'
1635098481345,2021-10-24 18:01:21,0.0,b'{}'
1635094838689,2021-10-24 17:00:38,0.0,b'{}'
1635091261843,2021-10-24 16:01:01,0.0,b'{}'
1635087665010,2021-10-24 15:01:05,0.0,b'{}'
1635084037633,2021-10-24 14:00:37,0.0,b'{}'
1635080435461,2021-10-24 13:00:35,0.0,b'{}'
1635076887307,2021-10-24 12:01:27,0.0,b'{}'
1635073361216,2021-10-24 11:02:41,0.0,b'{}'
Timestamp,Human readable date,daily,Context
1635379147000,2021-10-27 23:59:07,126.0,b'{}'
1635375552000,2021-10-27 22:59:12,104.0,b'{}'
1635371987000,2021-10-27 21:59:47,92.0,b'{}'
1635368083000,2021-10-27 20:54:43,75.0,b'{}'
1635364584000,2021-10-27 19:56:24,57.0,b'{}'
1635360900000,2021-10-27 18:55:00,45.0,b'{}'
1635357491000,2021-10-27 17:58:11,28.0,b'{}'
1635353267000,2021-10-27 16:47:47,17.0,b'{}'
1635347238000,2021-10-27 15:07:18,9.0,b'{}'
1635346765000,2021-10-27 14:59:25,2.0,b'{}'
1635343200000,2021-10-27 14:00:00,0.0,b'{}'
1635339600000,2021-10-27 13:00:00,0.0,b'{}'
1635336000000,2021-10-27 12:00:00,0.0,b'{}'
1635332520000,2021-10-27 11:02:00,0.0,b'{}'
1635328801000,2021-10-27 10:00:01,0.0,b'{}'
1635325201000,2021-10-27 09:00:01,0.0,b'{}'
1635321601000,2021-10-27 08:00:01,0.0,b'{}'
1635318001000,2021-10-27 07:00:01,0.0,b'{}'
1635314401000,2021-10-27 06:00:01,209.0,b'{}'
1635310801000,2021-10-27 05:00:01,209.0,b'{}'
1635300261000,2021-10-27 02:04:21,206.0,b'{}'
1635299773000,2021-10-27 01:56:13,204.0,b'{}'
1635295449000,2021-10-27 00:44:09,196.0,b'{}'
1635292793000,2021-10-26 23:59:53,172.0,b'{}'
1635288981000,2021-10-26 22:56:21,156.0,b'{}'
1635285468000,2021-10-26 21:57:48,114.0,b'{}'
1635281344000,2021-10-26 20:49:04,89.0,b'{}'
1635277031000,2021-10-26 19:37:11,72.0,b'{}'
1635274438000,2021-10-26 18:53:58,49.0,b'{}'
1635271007000,2021-10-26 17:56:47,31.0,b'{}'
1635267037000,2021-10-26 16:50:37,21.0,b'{}'
1635262337000,2021-10-26 15:32:17,11.0,b'{}'
1635260171000,2021-10-26 14:56:11,8.0,b'{}'
1635256660000,2021-10-26 13:57:40,4.0,b'{}'
1635253201000,2021-10-26 13:00:01,0.0,b'{}'
1635249600000,2021-10-26 12:00:00,0.0,b'{}'
1635246001000,2021-10-26 11:00:01,0.0,b'{}'
1635242400000,2021-10-26 10:00:00,0.0,b'{}'
1635238801000,2021-10-26 09:00:01,0.0,b'{}'
1635235201000,2021-10-26 08:00:01,0.0,b'{}'
1635231601000,2021-10-26 07:00:01,0.0,b'{}'
